PRODUCT,DRAW NUMBER,SEQUENCE NUMBER,DRAW DATE,NUMBER DRAWN 1,NUMBER DRAWN 2,NUMBER DRAWN 3,NUMBER DRAWN 4,NUMBER DRAWN 5,NUMBER DRAWN 6,NUMBER DRAWN 7,BONUS NUMBER
LOTTO MAX,23,6,26/02/2010,8,26,29,35,42,45,47,0
LOTTO MAX,23,7,26/02/2010,3,14,16,17,35,40,44,0
LOTTO MAX,23,8,26/02/2010,6,20,21,22,24,26,35,0
LOTTO MAX,23,9,26/02/2010,1,2,11,16,29,43,47,0
LOTTO MAX,23,10,26/02/2010,14,15,17,18,24,26,39,0
LOTTO MAX,24,0,05/03/2010,5,8,18,22,32,39,45,19
LOTTO MAX,25,0,12/03/2010,17,18,19,21,32,40,49,6
LOTTO MAX,26,0,19/03/2010,1,3,6,34,37,42,45,27
LOTTO MAX,27,0,26/03/2010,3,11,12,16,34,36,37,18
LOTTO MAX,28,0,02/04/2010,4,9,12,15,28,29,43,17
LOTTO MAX,29,0,09/04/2010,11,16,29,30,31,33,42,24
LOTTO MAX,30,0,16/04/2010,6,7,17,20,32,44,49,46
LOTTO MAX,31,0,23/04/2010,8,11,16,21,24,28,41,37
LOTTO MAX,32,0,30/04/2010,1,3,4,5,16,32,33,41
LOTTO MAX,33,0,07/05/2010,3,6,10,14,19,25,33,1
LOTTO MAX,34,0,14/05/2010,7,17,19,23,31,36,41,1
LOTTO MAX,35,0,21/05/2010,14,16,30,35,36,45,49,10
LOTTO MAX,36,0,28/05/2010,11,18,23,24,27,28,39,1
LOTTO MAX,37,0,04/06/2010,3,18,27,30,33,40,45,31
LOTTO MAX,37,1,04/06/2010,4,14,32,35,38,41,42,0
LOTTO MAX,37,2,04/06/2010,5,6,9,23,25,31,46,0
LOTTO MAX,37,3,04/06/2010,7,19,33,38,41,47,48,0
LOTTO MAX,37,4,04/06/2010,12,17,28,32,33,35,45,0
LOTTO MAX,37,5,04/06/2010,4,6,10,12,19,23,32,0
LOTTO MAX,38,0,11/06/2010,2,7,12,25,29,32,35,26
LOTTO MAX,38,1,11/06/2010,3,8,12,14,19,33,37,0
LOTTO MAX,38,2,11/06/2010,8,15,26,29,35,36,44,0
LOTTO MAX,38,3,11/06/2010,2,9,10,12,17,18,39,0
LOTTO MAX,38,4,11/06/2010,6,11,15,28,29,37,45,0
LOTTO MAX,38,5,11/06/2010,7,15,22,23,30,47,48,0
LOTTO MAX,38,6,11/06/2010,3,8,24,31,35,40,42,0
LOTTO MAX,38,7,11/06/2010,4,18,19,30,41,48,49,0
LOTTO MAX,38,8,11/06/2010,3,13,19,40,44,45,46,0
LOTTO MAX,38,9,11/06/2010,2,3,9,22,25,28,31,0
LOTTO MAX,38,10,11/06/2010,4,10,24,28,33,35,41,0
LOTTO MAX,38,11,11/06/2010,7,16,23,25,27,30,35,0
LOTTO MAX,38,12,11/06/2010,3,12,27,36,39,43,45,0
LOTTO MAX,38,13,11/06/2010,2,9,26,27,31,33,49,0
LOTTO MAX,38,14,11/06/2010,9,10,14,21,30,37,49,0
LOTTO MAX,38,15,11/06/2010,4,5,9,12,31,44,46,0
LOTTO MAX,38,16,11/06/2010,9,11,20,21,22,38,42,0
LOTTO MAX,38,17,11/06/2010,19,28,32,34,36,42,47,0
LOTTO MAX,38,18,11/06/2010,2,5,13,28,36,44,45,0
LOTTO MAX,38,19,11/06/2010,7,21,29,33,42,46,48,0
LOTTO MAX,38,20,11/06/2010,1,6,7,22,31,32,33,0
LOTTO MAX,38,21,11/06/2010,7,10,25,36,41,45,49,0
LOTTO MAX,38,22,11/06/2010,6,19,20,25,39,42,48,0
LOTTO MAX,38,23,11/06/2010,3,10,19,23,24,29,46,0
LOTTO MAX,38,24,11/06/2010,9,13,20,24,38,43,49,0
LOTTO MAX,38,25,11/06/2010,1,2,15,31,35,41,48,0
LOTTO MAX,38,26,11/06/2010,7,24,29,32,37,44,48,0
LOTTO MAX,38,27,11/06/2010,7,20,25,28,31,43,47,0
LOTTO MAX,39,0,18/06/2010,5,6,26,29,34,36,43,49
LOTTO MAX,39,1,18/06/2010,3,8,11,19,25,33,43,0
LOTTO MAX,39,2,18/06/2010,13,25,29,38,39,40,49,0
LOTTO MAX,39,3,18/06/2010,4,9,12,23,41,43,49,0
LOTTO MAX,39,4,18/06/2010,1,5,15,26,41,44,47,0
LOTTO MAX,39,5,18/06/2010,8,12,20,24,31,37,45,0
LOTTO MAX,39,6,18/06/2010,14,22,33,35,36,41,47,0
LOTTO MAX,39,7,18/06/2010,2,6,25,30,39,42,45,0
LOTTO MAX,39,8,18/06/2010,9,12,18,21,30,34,45,0
LOTTO MAX,39,9,18/06/2010,1,2,3,5,14,16,25,0
LOTTO MAX,39,10,18/06/2010,10,23,28,29,37,41,47,0
LOTTO MAX,39,11,18/06/2010,3,12,13,19,24,33,38,0
LOTTO MAX,39,12,18/06/2010,7,11,12,14,17,23,38,0
LOTTO MAX,39,13,18/06/2010,3,4,9,10,16,18,41,0
LOTTO MAX,39,14,18/06/2010,3,8,25,27,34,41,43,0
LOTTO MAX,39,15,18/06/2010,1,4,6,8,28,32,36,0
LOTTO MAX,39,16,18/06/2010,3,4,15,21,24,45,48,0
LOTTO MAX,39,17,18/06/2010,3,28,38,42,43,44,48,0
LOTTO MAX,39,18,18/06/2010,3,6,12,17,26,31,43,0
LOTTO MAX,39,19,18/06/2010,16,24,28,36,39,43,49,0
LOTTO MAX,39,20,18/06/2010,2,4,6,15,22,31,46,0
LOTTO MAX,39,21,18/06/2010,1,3,16,18,32,35,45,0
LOTTO MAX,39,22,18/06/2010,5,6,8,14,25,38,40,0
LOTTO MAX,39,23,18/06/2010,10,16,18,19,28,32,47,0
LOTTO MAX,39,24,18/06/2010,4,5,9,17,31,32,46,0
LOTTO MAX,39,25,18/06/2010,2,5,7,12,24,25,43,0
LOTTO MAX,39,26,18/06/2010,11,13,25,26,29,30,41,0
LOTTO MAX,39,27,18/06/2010,5,13,15,17,29,42,45,0
LOTTO MAX,39,28,18/06/2010,5,6,24,26,40,45,49,0
LOTTO MAX,39,29,18/06/2010,9,19,36,40,42,46,48,0
LOTTO MAX,39,30,18/06/2010,8,19,24,25,27,31,45,0
LOTTO MAX,39,31,18/06/2010,1,6,13,17,18,25,29,0
LOTTO MAX,39,32,18/06/2010,18,30,37,39,42,44,48,0
LOTTO MAX,39,33,18/06/2010,8,15,18,21,38,40,49,0
LOTTO MAX,39,34,18/06/2010,15,21,30,32,40,46,48,0
LOTTO MAX,39,35,18/06/2010,6,12,30,42,44,46,49,0
LOTTO MAX,39,36,18/06/2010,4,10,11,21,31,32,41,0
LOTTO MAX,39,37,18/06/2010,2,9,15,20,32,33,49,0
LOTTO MAX,39,38,18/06/2010,4,9,20,21,24,33,42,0
LOTTO MAX,39,39,18/06/2010,2,9,11,17,23,25,35,0
LOTTO MAX,39,40,18/06/2010,14,17,18,29,34,45,46,0
LOTTO MAX,39,41,18/06/2010,2,18,25,27,32,41,43,0
LOTTO MAX,39,42,18/06/2010,5,15,17,21,40,44,45,0
LOTTO MAX,39,43,18/06/2010,10,12,17,39,45,46,49,0
LOTTO MAX,39,44,18/06/2010,7,16,21,28,33,40,41,0
LOTTO MAX,39,45,18/06/2010,2,6,12,22,33,35,45,0
LOTTO MAX,40,0,25/06/2010,5,22,28,31,39,46,48,4
LOTTO MAX,40,1,25/06/2010,15,20,26,35,43,45,47,0
LOTTO MAX,40,2,25/06/2010,2,12,18,21,23,31,37,0
LOTTO MAX,40,3,25/06/2010,5,19,20,33,35,43,49,0
LOTTO MAX,40,4,25/06/2010,26,28,35,38,39,44,49,0
LOTTO MAX,40,5,25/06/2010,18,23,28,35,39,42,44,0
LOTTO MAX,40,6,25/06/2010,26,28,31,32,34,43,44,0
LOTTO MAX,40,7,25/06/2010,13,23,26,28,35,42,45,0
LOTTO MAX,40,8,25/06/2010,12,19,21,33,41,43,44,0
LOTTO MAX,40,9,25/06/2010,1,6,13,14,18,33,42,0
LOTTO MAX,40,10,25/06/2010,2,17,25,27,33,41,43,0
LOTTO MAX,40,11,25/06/2010,10,11,13,23,28,37,44,0
LOTTO MAX,40,12,25/06/2010,3,9,28,31,35,43,49,0
LOTTO MAX,40,13,25/06/2010,5,7,9,11,20,32,46,0
LOTTO MAX,40,14,25/06/2010,6,8,12,37,40,43,47,0
LOTTO MAX,40,15,25/06/2010,3,8,10,18,24,31,43,0
LOTTO MAX,40,16,25/06/2010,2,13,19,29,32,38,48,0
LOTTO MAX,40,17,25/06/2010,4,20,33,37,45,47,49,0
LOTTO MAX,40,18,25/06/2010,10,21,27,34,36,48,49,0
LOTTO MAX,40,19,25/06/2010,4,7,8,18,20,34,39,0
LOTTO MAX,40,20,25/06/2010,4,7,11,16,20,39,44,0
LOTTO MAX,40,21,25/06/2010,11,20,26,38,42,45,48,0
LOTTO MAX,40,22,25/06/2010,2,5,22,27,44,47,49,0
LOTTO MAX,40,23,25/06/2010,14,18,21,23,29,35,47,0
LOTTO MAX,40,24,25/06/2010,9,13,15,29,32,38,40,0
LOTTO MAX,40,25,25/06/2010,6,15,16,18,33,39,46,0
LOTTO MAX,40,26,25/06/2010,7,9,17,20,31,41,45,0
LOTTO MAX,40,27,25/06/2010,6,13,24,27,38,40,45,0
LOTTO MAX,40,28,25/06/2010,1,6,7,10,17,31,33,0
LOTTO MAX,40,29,25/06/2010,4,6,27,29,30,35,49,0
LOTTO MAX,40,30,25/06/2010,4,5,16,20,25,42,49,0
LOTTO MAX,40,31,25/06/2010,3,16,17,26,29,35,44,0
LOTTO MAX,40,32,25/06/2010,19,22,32,34,38,40,43,0
LOTTO MAX,40,33,25/06/2010,3,7,11,40,42,45,47,0
LOTTO MAX,40,34,25/06/2010,4,9,18,28,40,41,46,0
LOTTO MAX,40,35,25/06/2010,2,8,11,22,28,32,42,0
LOTTO MAX,40,36,25/06/2010,10,13,26,31,36,40,45,0
LOTTO MAX,40,37,25/06/2010,2,5,27,32,41,44,48,0
LOTTO MAX,40,38,25/06/2010,2,8,14,20,30,32,38,0
LOTTO MAX,40,39,25/06/2010,7,8,21,22,24,28,49,0
LOTTO MAX,40,40,25/06/2010,3,25,28,29,37,44,49,0
LOTTO MAX,40,41,25/06/2010,6,8,9,20,29,36,41,0
LOTTO MAX,40,42,25/06/2010,4,12,13,32,38,40,47,0
LOTTO MAX,40,43,25/06/2010,12,24,30,34,38,40,43,0
LOTTO MAX,40,44,25/06/2010,3,8,12,17,22,29,34,0
LOTTO MAX,40,45,25/06/2010,7,13,17,18,27,33,44,0
LOTTO MAX,40,46,25/06/2010,11,29,31,41,43,45,46,0
LOTTO MAX,40,47,25/06/2010,7,9,11,15,21,32,38,0
LOTTO MAX,40,48,25/06/2010,5,6,13,29,33,36,44,0
LOTTO MAX,40,49,25/06/2010,4,5,9,14,15,21,38,0
LOTTO MAX,41,0,02/07/2010,9,19,25,26,29,30,44,33
LOTTO MAX,42,0,09/07/2010,9,10,19,24,28,30,31,46
LOTTO MAX,43,0,16/07/2010,10,14,26,34,43,47,48,28
LOTTO MAX,43,1,16/07/2010,1,10,12,13,14,26,33,0
LOTTO MAX,43,2,16/07/2010,2,12,14,16,28,44,48,0
LOTTO MAX,43,3,16/07/2010,1,3,13,28,29,42,45,0
LOTTO MAX,43,4,16/07/2010,4,18,19,24,29,34,42,0
LOTTO MAX,43,5,16/07/2010,1,6,7,19,21,28,43,0
LOTTO MAX,43,6,16/07/2010,4,12,27,30,32,35,47,0
LOTTO MAX,43,7,16/07/2010,10,21,22,28,33,34,36,0
LOTTO MAX,43,8,16/07/2010,1,3,5,6,26,35,39,0
LOTTO MAX,43,9,16/07/2010,1,3,4,19,25,35,46,0
LOTTO MAX,43,10,16/07/2010,2,3,6,32,41,42,48,0
LOTTO MAX,43,11,16/07/2010,14,27,31,37,39,44,46,0
LOTTO MAX,43,12,16/07/2010,7,16,24,26,30,34,40,0
LOTTO MAX,43,13,16/07/2010,14,15,16,20,30,46,47,0
LOTTO MAX,44,0,23/07/2010,17,19,26,29,34,35,38,47
LOTTO MAX,44,1,23/07/2010,13,17,19,21,23,31,33,0
LOTTO MAX,44,2,23/07/2010,12,14,18,19,27,29,36,0
LOTTO MAX,44,3,23/07/2010,6,14,23,29,39,44,49,0
LOTTO MAX,44,4,23/07/2010,4,16,36,37,43,48,49,0
LOTTO MAX,44,5,23/07/2010,7,9,18,20,27,42,43,0
LOTTO MAX,44,6,23/07/2010,18,21,27,31,35,38,44,0
LOTTO MAX,44,7,23/07/2010,3,12,17,30,35,44,46,0
LOTTO MAX,44,8,23/07/2010,1,7,12,16,17,31,49,0
LOTTO MAX,44,9,23/07/2010,2,5,8,14,20,32,49,0
LOTTO MAX,44,10,23/07/2010,4,5,6,23,24,31,45,0
LOTTO MAX,44,11,23/07/2010,6,10,21,29,32,35,47,0
LOTTO MAX,44,12,23/07/2010,9,11,19,28,29,39,47,0
LOTTO MAX,44,13,23/07/2010,8,20,24,27,31,44,46,0
LOTTO MAX,44,14,23/07/2010,3,17,28,35,37,40,46,0
LOTTO MAX,44,15,23/07/2010,6,16,20,24,40,47,48,0
LOTTO MAX,44,16,23/07/2010,8,11,17,23,26,35,36,0
LOTTO MAX,44,17,23/07/2010,4,9,14,20,32,33,38,0
LOTTO MAX,44,18,23/07/2010,6,8,18,23,31,41,42,0
LOTTO MAX,44,19,23/07/2010,5,7,24,31,39,48,49,0
LOTTO MAX,44,20,23/07/2010,20,21,27,31,32,35,44,0
LOTTO MAX,44,21,23/07/2010,2,8,15,31,41,44,46,0
LOTTO MAX,44,22,23/07/2010,11,16,35,37,39,43,46,0
LOTTO MAX,44,23,23/07/2010,6,10,21,22,23,26,45,0
LOTTO MAX,44,24,23/07/2010,4,16,23,31,35,47,48,0
LOTTO MAX,44,25,23/07/2010,2,13,19,22,25,35,38,0
LOTTO MAX,44,26,23/07/2010,6,9,23,24,26,39,49,0
LOTTO MAX,45,0,30/07/2010,5,7,11,40,41,47,48,6
LOTTO MAX,45,1,30/07/2010,10,11,20,36,39,44,49,0
LOTTO MAX,45,2,30/07/2010,1,2,16,27,34,37,46,0
LOTTO MAX,45,3,30/07/2010,8,13,23,28,31,40,47,0
LOTTO MAX,45,4,30/07/2010,3,20,21,30,32,48,49,0
LOTTO MAX,45,5,30/07/2010,13,14,32,34,39,46,47,0
LOTTO MAX,45,6,30/07/2010,13,16,21,22,36,38,43,0
LOTTO MAX,45,7,30/07/2010,15,16,21,27,39,43,46,0
LOTTO MAX,45,8,30/07/2010,5,12,26,29,34,41,49,0
LOTTO MAX,45,9,30/07/2010,8,9,26,27,31,32,47,0
LOTTO MAX,45,10,30/07/2010,12,20,21,23,26,28,41,0
LOTTO MAX,45,11,30/07/2010,4,7,8,9,15,19,23,0
LOTTO MAX,45,12,30/07/2010,10,14,28,32,39,44,45,0
LOTTO MAX,45,13,30/07/2010,4,25,27,30,41,42,48,0
LOTTO MAX,45,14,30/07/2010,9,16,20,35,38,39,47,0
LOTTO MAX,45,15,30/07/2010,10,12,14,26,38,40,48,0
LOTTO MAX,45,16,30/07/2010,9,10,20,26,37,43,49,0
LOTTO MAX,45,17,30/07/2010,3,8,19,21,25,31,48,0
LOTTO MAX,45,18,30/07/2010,1,3,4,24,32,33,37,0
LOTTO MAX,45,19,30/07/2010,13,16,20,25,34,42,45,0
LOTTO MAX,45,20,30/07/2010,8,30,32,35,36,42,45,0
LOTTO MAX,45,21,30/07/2010,1,5,11,16,27,42,47,0
LOTTO MAX,45,22,30/07/2010,2,21,22,25,27,35,37,0
LOTTO MAX,45,23,30/07/2010,19,22,25,27,28,40,47,0
LOTTO MAX,45,24,30/07/2010,12,16,20,22,26,28,29,0
LOTTO MAX,45,25,30/07/2010,3,7,8,9,43,45,49,0
LOTTO MAX,45,26,30/07/2010,16,26,29,39,41,44,46,0
LOTTO MAX,45,27,30/07/2010,6,21,22,25,36,37,47,0
LOTTO MAX,45,28,30/07/2010,20,23,24,31,36,40,46,0
LOTTO MAX,46,0,06/08/2010,1,5,6,32,36,38,44,29
LOTTO MAX,46,1,06/08/2010,7,13,21,25,28,31,47,0
LOTTO MAX,46,2,06/08/2010,2,4,12,27,29,30,36,0
LOTTO MAX,46,3,06/08/2010,8,16,38,39,40,43,49,0
LOTTO MAX,46,4,06/08/2010,6,12,15,21,23,42,48,0
LOTTO MAX,46,5,06/08/2010,3,11,21,32,38,41,49,0
LOTTO MAX,46,6,06/08/2010,15,23,33,35,37,42,45,0
LOTTO MAX,46,7,06/08/2010,3,9,14,18,26,31,49,0
LOTTO MAX,46,8,06/08/2010,4,6,10,13,24,28,44,0
LOTTO MAX,46,9,06/08/2010,7,8,17,21,26,34,44,0
LOTTO MAX,46,10,06/08/2010,4,8,9,10,12,20,34,0
LOTTO MAX,46,11,06/08/2010,6,7,10,17,24,33,45,0
LOTTO MAX,46,12,06/08/2010,6,11,17,21,32,37,39,0
LOTTO MAX,46,13,06/08/2010,8,16,21,23,35,38,44,0
LOTTO MAX,46,14,06/08/2010,3,8,21,28,32,34,48,0
LOTTO MAX,46,15,06/08/2010,9,12,16,19,21,23,45,0
LOTTO MAX,46,16,06/08/2010,3,15,16,18,19,29,35,0
LOTTO MAX,46,17,06/08/2010,1,5,10,18,27,34,45,0
LOTTO MAX,46,18,06/08/2010,1,11,16,33,42,44,49,0
LOTTO MAX,46,19,06/08/2010,4,13,25,45,46,47,48,0
LOTTO MAX,46,20,06/08/2010,9,13,18,24,28,31,44,0
LOTTO MAX,46,21,06/08/2010,6,14,27,30,36,40,49,0
LOTTO MAX,46,22,06/08/2010,3,24,34,38,40,42,48,0
LOTTO MAX,46,23,06/08/2010,9,15,21,27,36,41,49,0
LOTTO MAX,46,24,06/08/2010,15,18,23,39,40,46,48,0
LOTTO MAX,46,25,06/08/2010,6,23,26,30,34,36,41,0
LOTTO MAX,46,26,06/08/2010,1,8,11,19,20,25,28,0
LOTTO MAX,46,27,06/08/2010,6,15,16,19,21,29,42,0
LOTTO MAX,46,28,06/08/2010,16,19,35,40,42,45,48,0
LOTTO MAX,46,29,06/08/2010,8,15,22,29,31,34,48,0
LOTTO MAX,46,30,06/08/2010,9,20,23,24,34,38,44,0
LOTTO MAX,46,31,06/08/2010,5,18,29,33,41,45,49,0
LOTTO MAX,46,32,06/08/2010,1,6,9,15,31,32,40,0
LOTTO MAX,47,0,13/08/2010,19,25,27,29,30,36,46,15
LOTTO MAX,47,1,13/08/2010,2,12,15,26,27,37,44,0
LOTTO MAX,47,2,13/08/2010,1,4,10,13,17,19,33,0
LOTTO MAX,47,3,13/08/2010,2,8,19,20,26,32,47,0
LOTTO MAX,47,4,13/08/2010,1,5,10,15,21,27,42,0
LOTTO MAX,47,5,13/08/2010,1,3,6,19,20,31,39,0
LOTTO MAX,47,6,13/08/2010,1,8,14,17,32,35,47,0
LOTTO MAX,47,7,13/08/2010,2,10,16,22,25,29,38,0
LOTTO MAX,47,8,13/08/2010,6,17,18,25,26,32,40,0
LOTTO MAX,47,9,13/08/2010,19,21,29,30,35,46,49,0
LOTTO MAX,47,10,13/08/2010,7,8,13,17,23,35,45,0
LOTTO MAX,47,11,13/08/2010,4,9,15,26,27,41,43,0
LOTTO MAX,47,12,13/08/2010,7,11,14,20,21,36,38,0
LOTTO MAX,47,13,13/08/2010,7,14,18,22,29,34,48,0
LOTTO MAX,47,14,13/08/2010,3,9,10,16,23,32,36,0
LOTTO MAX,47,15,13/08/2010,3,7,12,14,22,30,33,0
LOTTO MAX,47,16,13/08/2010,7,25,26,42,44,46,47,0
LOTTO MAX,47,17,13/08/2010,12,20,25,29,32,38,49,0
LOTTO MAX,47,18,13/08/2010,7,14,28,34,37,38,42,0
LOTTO MAX,47,19,13/08/2010,5,15,16,23,29,32,44,0
LOTTO MAX,47,20,13/08/2010,10,15,17,31,32,38,39,0
LOTTO MAX,47,21,13/08/2010,4,6,10,20,26,42,45,0
LOTTO MAX,47,22,13/08/2010,3,5,8,13,14,23,29,0
LOTTO MAX,47,23,13/08/2010,13,14,20,22,27,28,33,0
LOTTO MAX,47,24,13/08/2010,5,17,21,23,24,42,46,0
LOTTO MAX,47,25,13/08/2010,12,21,23,28,30,36,46,0
LOTTO MAX,47,26,13/08/2010,5,12,18,26,34,38,43,0
LOTTO MAX,47,27,13/08/2010,3,4,13,15,25,38,43,0
LOTTO MAX,47,28,13/08/2010,7,10,24,25,26,34,42,0
LOTTO MAX,47,29,13/08/2010,4,12,13,23,25,44,47,0
LOTTO MAX,47,30,13/08/2010,6,17,18,27,31,39,40,0
LOTTO MAX,47,31,13/08/2010,1,11,20,25,33,36,49,0
LOTTO MAX,47,32,13/08/2010,6,23,24,29,41,43,47,0
LOTTO MAX,47,33,13/08/2010,4,9,23,25,27,42,44,0
LOTTO MAX,47,34,13/08/2010,5,8,18,26,36,38,43,0
LOTTO MAX,47,35,13/08/2010,2,5,8,12,23,40,46,0
LOTTO MAX,47,36,13/08/2010,9,10,19,21,26,44,49,0
LOTTO MAX,47,37,13/08/2010,9,20,24,29,37,42,47,0
LOTTO MAX,47,38,13/08/2010,21,30,31,33,40,42,46,0
LOTTO MAX,47,39,13/08/2010,5,13,23,28,29,33,39,0
LOTTO MAX,47,40,13/08/2010,3,8,17,21,24,31,39,0
LOTTO MAX,48,0,20/08/2010,4,5,7,8,18,30,35,39
LOTTO MAX,49,0,27/08/2010,3,14,26,27,29,32,34,1
LOTTO MAX,50,0,03/09/2010,12,17,27,28,31,36,48,37
LOTTO MAX,51,0,10/09/2010,4,17,27,32,34,39,47,13
LOTTO MAX,52,0,17/09/2010,2,5,6,43,46,47,48,39
LOTTO MAX,53,0,24/09/2010,9,22,25,30,31,39,42,19
LOTTO MAX,54,0,01/10/2010,10,12,13,25,28,29,41,39
LOTTO MAX,55,0,08/10/2010,3,4,5,8,13,22,33,32
LOTTO MAX,56,0,15/10/2010,3,14,17,25,30,33,39,7
LOTTO MAX,57,0,22/10/2010,12,15,19,20,28,29,39,14
LOTTO MAX,58,0,29/10/2010,2,6,21,26,28,33,47,11
LOTTO MAX,58,1,29/10/2010,5,7,9,24,36,40,42,0
LOTTO MAX,58,2,29/10/2010,4,9,13,14,23,34,36,0
LOTTO MAX,58,3,29/10/2010,2,18,37,39,43,44,46,0
LOTTO MAX,58,4,29/10/2010,5,7,11,12,16,21,31,0
LOTTO MAX,58,5,29/10/2010,3,13,30,31,33,36,41,0
LOTTO MAX,58,6,29/10/2010,6,11,16,25,30,35,46,0
LOTTO MAX,58,7,29/10/2010,6,12,17,20,23,24,30,0
LOTTO MAX,58,8,29/10/2010,13,26,36,37,41,46,47,0
LOTTO MAX,58,9,29/10/2010,1,4,8,16,24,38,45,0
LOTTO MAX,59,0,05/11/2010,7,10,24,30,35,36,39,3
LOTTO MAX,60,0,12/11/2010,13,15,17,18,19,47,49,38
LOTTO MAX,61,0,19/11/2010,4,13,25,29,36,40,48,24
LOTTO MAX,62,0,26/11/2010,12,21,23,27,28,29,37,9
LOTTO MAX,63,0,03/12/2010,1,10,13,26,43,46,49,31
LOTTO MAX,64,0,10/12/2010,7,9,12,20,28,38,44,10
LOTTO MAX,65,0,17/12/2010,1,16,28,29,33,37,47,24
LOTTO MAX,66,0,24/12/2010,8,23,25,26,33,41,43,21
LOTTO MAX,66,1,24/12/2010,4,22,27,28,39,43,47,0
LOTTO MAX,66,2,24/12/2010,1,3,6,9,15,16,49,0
LOTTO MAX,66,3,24/12/2010,2,8,23,32,35,38,45,0
LOTTO MAX,66,4,24/12/2010,4,5,8,9,12,19,25,0
LOTTO MAX,66,5,24/12/2010,1,16,21,33,34,40,45,0
LOTTO MAX,66,6,24/12/2010,4,14,22,35,42,46,49,0
LOTTO MAX,66,7,24/12/2010,10,13,17,18,19,22,35,0
LOTTO MAX,66,8,24/12/2010,6,9,16,31,34,37,46,0
LOTTO MAX,66,9,24/12/2010,1,25,31,32,38,48,49,0
LOTTO MAX,66,10,24/12/2010,5,13,17,21,38,40,42,0
LOTTO MAX,67,0,31/12/2010,2,7,10,22,32,34,38,1
LOTTO MAX,67,1,31/12/2010,11,15,22,25,27,37,49,0
LOTTO MAX,67,2,31/12/2010,9,15,21,30,33,36,41,0
LOTTO MAX,67,3,31/12/2010,1,9,20,27,28,41,44,0
LOTTO MAX,67,4,31/12/2010,1,2,12,20,35,43,47,0
LOTTO MAX,67,5,31/12/2010,8,11,17,18,28,45,47,0
LOTTO MAX,67,6,31/12/2010,1,6,19,21,28,30,40,0
LOTTO MAX,67,7,31/12/2010,3,5,8,17,28,42,44,0
LOTTO MAX,67,8,31/12/2010,2,18,21,32,37,38,40,0
LOTTO MAX,67,9,31/12/2010,8,9,20,28,36,42,44,0
LOTTO MAX,67,10,31/12/2010,11,14,15,18,19,34,39,0
